PC4,jaar,lbm,afw,fys,onv,soc,vrz,won
1011,2002,4.216484120900081,0.11421926975639664,NA,NA,NA,NA,NA
1011,2008,4.341846071116741,0.239581219973056,NA,NA,NA,NA,NA
1011,2012,4.357284188512217,0.25501933736853205,NA,NA,NA,NA,NA
1011,2014,4.3321922994307975,0.22992744828711204,-0.00693275309148697,-0.1288870752756942,-0.06472883900754467,0.43673285787780364,-0.006256742215966049
1011,2016,4.331510713127211,0.22924586198352598,NA,NA,NA,NA,NA
1011,2018,4.328121413998076,0.22585656285439093,-0.009826173343339184,-0.15542283269339724,-0.07368106641678059,0.4474971089271273,0.01728952638078037
1011,2020,4.354957027143395,0.25269217599970967,-0.004457267716228333,-0.16222836365407514,-0.07595066119035976,0.4830276027083633,0.0123008658520093
1011,2022,4.383845610413189,0.2815807592695041,-0.005500294097887718,-0.13457410467904182,-0.07436213791723782,0.4879703952949259,0.0080469006687452
1012,2002,4.234219525059081,0.131954673915396,NA,NA,NA,NA,NA
1012,2008,4.3648313259226885,0.26256647477900363,NA,NA,NA,NA,NA
1012,2012,4.423834060954421,0.32156920981073633,NA,NA,NA,NA,NA
1012,2014,4.340839516652142,0.23857466550845718,0.008132132018877244,-0.21506677759831644,-0.06154628310916608,0.5147671739381066,-0.007711579741044377
1012,2016,4.378215100209891,0.27595024906620547,NA,NA,NA,NA,NA
1012,2018,4.36772276092281,0.2654579097791247,0.0024882404119944417,-0.2516486783716126,-0.06750042905918811,0.5578475890717952,0.024271187726135443
1012,2020,4.411098366072614,0.30883351492892847,0.020867592637082735,-0.2592527337209137,-0.07231893016547701,0.6026119665855495,0.016925619592686646
1012,2022,4.411287030695486,0.3090221795518001,0.012258406525715948,-0.25707346642405793,-0.07512399540116264,0.6109076755596758,0.0180535592916287
1013,2002,4.056385294201815,-0.04587955694187069,NA,NA,NA,NA,NA
1013,2008,4.180665002302295,0.07840015115860968,NA,NA,NA,NA,NA
1013,2012,4.244341311570454,0.1420764604267692,NA,NA,NA,NA,NA
1013,2014,4.224136543555171,0.12187169241148581,-0.028220725232201784,-0.09081500623294159,-0.08249020722337382,0.35295512526992423,-0.02955749416992151
1013,2016,4.279958269873049,0.17769341872936423,NA,NA,NA,NA,NA
1013,2018,4.2496904012922645,0.1474255501485788,-0.03864902238846008,-0.09601761324178044,-0.08907848014099426,0.38993371805997973,-0.018763052140166443
1013,2020,4.298936722565953,0.19667187142226764,-0.029010346951713832,-0.09597552988604598,-0.08580246240707136,0.42128425648036893,-0.01382404581327037
1013,2022,4.294247031171014,0.19198218002732872,-0.032469008742288405,-0.09446724865281254,-0.08307603242477743,0.4085990136026717,-0.006604543755464827
1014,2002,4.151750774503643,0.04948592335995845,NA,NA,NA,NA,NA
1014,2008,4.309107036070847,0.20684218492716216,NA,NA,NA,NA,NA
1014,2012,4.088939723257067,-0.01332512788661915,NA,NA,NA,NA,NA
1014,2014,4.194773846187184,0.09250899504349824,0.017641693972845388,-0.07249418538992954,-0.030527129211965966,0.2820504660096256,-0.1041618503370774
1014,2016,4.29460328451599,0.19233843337230502,NA,NA,NA,NA,NA
1014,2018,4.224420203600549,0.1221553524568639,0.029242094719878608,-0.08357532212065542,-0.05346116527541063,0.3087370844152954,-0.07878733928224439
1014,2020,4.332360214886624,0.23009536374293799,0.006912350082405238,-0.056026929555041335,-0.00879472894881919,0.3078910507377958,-0.019886378573402877
1014,2022,4.30993248754266,0.2076676363989753,-0.012763990572814642,-0.03512237495301746,-0.026360136982574757,0.29723605999511155,-0.015321921087729569
1015,2002,4.272409465150579,0.17014461400689349,NA,NA,NA,NA,NA
1015,2008,4.386792622048533,0.28452777090484754,NA,NA,NA,NA,NA
1015,2012,4.418889132029343,0.31662428088565775,NA,NA,NA,NA,NA
1015,2014,4.385190831778398,0.2829259806347122,-0.019189980298281978,-0.07009054191044128,-0.08481704123881381,0.48898163842519243,-0.03195809434294345
1015,2016,4.447000180890103,0.3447353297464177,NA,NA,NA,NA,NA
1015,2018,4.405312183654451,0.30304733251076593,-0.026867460794470756,-0.07663242087097778,-0.09371843172069744,0.5144508160965039,-0.014185170199592196
1015,2020,4.445152616906955,0.34288776576327007,-0.018918846436799735,-0.07787325840371516,-0.09641143716097952,0.5518919037678336,-0.015800596003069257
1015,2022,4.44039370000724,0.3381288488635541,-0.018432052284185464,-0.10393021310868004,-0.10016344907011718,0.560498781937224,1.5578138931247136e-4
1016,2002,4.340334148261332,0.23806929711764596,NA,NA,NA,NA,NA
1016,2008,4.413388129922593,0.3111232787789084,NA,NA,NA,NA,NA
1016,2012,4.439622625941073,0.3373577747973877,NA,NA,NA,NA,NA
1016,2014,4.471965864403566,0.36970101325988053,-0.010145475375969487,-0.08323813871421175,-0.07610955529302066,0.5590663248144254,-0.019872142171343355
1016,2016,4.493756877196748,0.3914920260530634,NA,NA,NA,NA,NA
1016,2018,4.485905894039516,0.38364104289583073,-0.016012249207401276,-0.09310064755028889,-0.08410383829648721,0.5721372181046799,0.004720559845327919
1016,2020,4.509626695813829,0.4073618446701429,-0.009457657124026334,-0.10527510309893784,-0.08861543883484518,0.6104653549333066,2.446887946453233e-4
1016,2022,4.5203699251682234,0.4181050740245381,-0.007810384339986114,-0.13768988379803285,-0.08802003662115684,0.6321914671833773,0.019433911600336334
1017,2002,4.50552445359623,0.40325960245254483,NA,NA,NA,NA,NA
1017,2008,4.584418269215998,0.48215341807231316,NA,NA,NA,NA,NA
1017,2012,4.582605630265119,0.48034077912143375,NA,NA,NA,NA,NA
